naam,naam_lang,code,type,land,uic_code,eva_code,lat,lng
Brandevrt,Helmond Brandevoort,HMBV,STOPTREIN_STATION,NL,8400242,8400035,51.4622230529785,5.60722208023071
Geldermlsn,Geldermalsen,GDM,KNOOPPUNT_STOPTREIN_STATION,NL,8400244,8400244,51.88301,5.27127
Geldrop,Geldrop,GP,KNOOPPUNT_STOPTREIN_STATION,NL,8400245,8400245,51.4197235107422,5.55055570602417
Geleen O,Geleen Oost,GLN,STOPTREIN_STATION,NL,8400246,8400246,50.9669456481934,5.84305572509766
Geleen-Lut,Geleen-Lutterade,LUT,STOPTREIN_STATION,NL,8400248,8400248,50.9755554199219,5.82472229003906
Gilze-Rij,Gilze-Rijen,GZ,STOPTREIN_STATION,NL,8400251,8400251,51.583610534668,4.92611122131348
Goes,Goes,GS,STOPTREIN_STATION,NL,8400253,8400253,51.4980545043945,3.89055562019348
Goor,Goor,GO,STOPTREIN_STATION,NL,8400254,8400254,52.2302780151367,6.58444452285767
Gorinchem,Gorinchem,GR,KNOOPPUNT_STOPTREIN_STATION,NL,8400256,8400256,51.8338890075684,4.96833324432373
Goverwelle,Gouda Goverwelle,GDG,STOPTREIN_STATION,NL,8400257,8400257,52.0149993896484,4.7408332824707
Gouda,Gouda,GD,KNOOPPUNT_INTERCITY_STATION,NL,8400258,8400258,52.0175018310547,4.70444440841675
Gramsbergn,Gramsbergen,GBG,STOPTREIN_STATION,NL,8400259,8400259,52.6091651916504,6.67583322525024
Glanerbrug,Glanerbrug,GBR,STOPTREIN_STATION,NL,8400262,8400011,52.2186126708984,6.97444438934326
Groningen,Groningen,GN,KNOOPPUNT_INTERCITY_STATION,NL,8400263,8400263,53.2105560302734,6.56472206115723
Groningn N,Groningen Noord,GNN,STOPTREIN_STATION,NL,8400264,8400264,53.2301469,6.5563172
Grou-Jirns,Grou-Jirnsum,GW,STOPTREIN_STATION,NL,8400266,8400266,53.0888900756836,5.82250022888184
Grijpskerk,Grijpskerk,GK,STOPTREIN_STATION,NL,8400267,8400267,53.2557403255735,6.30977869033813
Spaarnwde,Haarlem Spaarnwoude,HLMS,STOPTREIN_STATION,NL,8400270,8402735,52.3827781677246,4.67305564880371
Mariahoeve,Den Haag Mariahoeve,GVM,STOPTREIN_STATION,NL,8400278,8400278,52.0905570983887,4.36944437026978
Moerwijk,Den Haag Moerwijk,GVMW,STOPTREIN_STATION,NL,8400279,8400279,52.0538902282715,4.3086109161377
Dn Haag HS,Den Haag HS,GV,KNOOPPUNT_INTERCITY_STATION,NL,8400280,8400280,52.0697212219238,4.32250022888184
