from_eva,to_eva,traveltime,naam_from,naam_to
8400646,8400180,131,Venray,Dordrecht
8400652,8400180,72,Vlissingen,Dordrecht
8400684,8400180,100,Weert,Dordrecht
8400685,8400180,72,Weesp,Dordrecht
8400691,8400180,158,Wierden,Dordrecht
8400696,8400180,230,Winschoten,Dordrecht
8400698,8400180,182,Winterswijk,Dordrecht
8400702,8400180,65,Woerden,Dordrecht
8400731,8400180,70,Zaandam,Dordrecht
8400735,8400180,130,Zevenaar,Dordrecht
8400741,8400180,62,Zoetermeer,Dordrecht
8400742,8400180,219,Zuidbroek,Dordrecht
8400744,8400180,136,Zutphen,Dordrecht
8400747,8400180,122,Zwolle,Dordrecht
8400050,8400182,80,Alkmaar,Driebergen-Zeist
8400051,8400182,101,Almelo,Driebergen-Zeist
8400053,8400182,46,Alphen a/d Rijn,Driebergen-Zeist
8400055,8400182,37,Amersfoort,Driebergen-Zeist
8400057,8400182,34,Amsterdam Amstel,Driebergen-Zeist
8400058,8400182,39,Amsterdam Centraal,Driebergen-Zeist
8400059,8400182,52,Amsterdam Sloterdijk,Driebergen-Zeist
8400061,8400182,38,Amsterdam Zuid,Driebergen-Zeist
8400066,8400182,63,Apeldoorn,Driebergen-Zeist
8400071,8400182,26,Arnhem Centraal,Driebergen-Zeist
8400073,8400182,121,Assen,Driebergen-Zeist
8400074,8400182,26,Amsterdam Bijlmer ArenA,Driebergen-Zeist
8400080,8400182,61,Almere Centrum,Driebergen-Zeist
8400086,8400182,45,Baarn,Driebergen-Zeist
8400093,8400182,137,Emmen Zuid,Driebergen-Zeist
8400095,8400182,195,Veendam,Driebergen-Zeist
8400113,8400182,83,Beverwijk,Driebergen-Zeist
8400128,8400182,72,Boxmeer,Driebergen-Zeist
8400129,8400182,61,Boxtel,Driebergen-Zeist
8400131,8400182,87,Breda,Driebergen-Zeist
8400133,8400182,25,Breukelen,Driebergen-Zeist
8400139,8400182,170,Buitenpost,Driebergen-Zeist
8400151,8400182,72,Castricum,Driebergen-Zeist
8400153,8400182,125,Coevorden,Driebergen-Zeist
8400167,8400182,96,Dalfsen,Driebergen-Zeist
8400170,8400182,68,Delft,Driebergen-Zeist
8400173,8400182,74,Deventer,Driebergen-Zeist
8400176,8400182,53,Dieren,Driebergen-Zeist
8400177,8400182,65,Doetinchem,Driebergen-Zeist
8400179,8400182,37,Den Dolder,Driebergen-Zeist
8400180,8400182,83,Dordrecht,Driebergen-Zeist
8400194,8400182,43,Duivendrecht,Driebergen-Zeist
8400200,8400182,16,Ede-Wageningen,Driebergen-Zeist
8400206,8400182,66,Eindhoven,Driebergen-Zeist
8400207,8400182,48,Elst,Driebergen-Zeist
8400208,8400182,141,Emmen,Driebergen-Zeist
8400212,8400182,121,Enschede,Driebergen-Zeist
8400218,8400182,101,Etten-Leur,Driebergen-Zeist
8400244,8400182,41,Geldermalsen,Driebergen-Zeist
8400245,8400182,75,Geldrop,Driebergen-Zeist
8400256,8400182,74,Gorinchem,Driebergen-Zeist
8400258,8400182,33,Gouda,Driebergen-Zeist
8400263,8400182,138,Groningen,Driebergen-Zeist
8400280,8400182,59,Den Haag HS,Driebergen-Zeist
8400282,8400182,52,Den Haag Centraal,Driebergen-Zeist
8400285,8400182,67,Haarlem,Driebergen-Zeist
8400293,8400182,117,Hardenberg,Driebergen-Zeist
8400294,8400182,76,Harderwijk,Driebergen-Zeist
8400302,8400182,73,Heemstede-Aerdenhout,Driebergen-Zeist
8400305,8400182,124,Heerenveen,Driebergen-Zeist
8400306,8400182,91,Heerhugowaard,Driebergen-Zeist
8400307,8400182,137,Heerlen,Driebergen-Zeist
8400311,8400182,121,Den Helder,Driebergen-Zeist
8400313,8400182,82,Helmond,Driebergen-Zeist
8400316,8400182,113,Hengelo,Driebergen-Zeist
8400319,8400182,45,'s-Hertogenbosch,Driebergen-Zeist
8400322,8400182,34,Hilversum,Driebergen-Zeist
8400331,8400182,166,Hoogezand-Sappemeer,Driebergen-Zeist
8400337,8400182,85,Hoorn,Driebergen-Zeist
8400340,8400182,26,Houten,Driebergen-Zeist
8400355,8400182,159,Kerkrade Centrum,Driebergen-Zeist
8400364,8400182,78,Zaandijk Zaanse Schans,Driebergen-Zeist
8400380,8400182,72,Den Haag Laan v NOI,Driebergen-Zeist
8400382,8400182,106,Lage Zwaluwe,Driebergen-Zeist
8400387,8400182,140,Leeuwarden,Driebergen-Zeist
8400390,8400182,61,Leiden Centraal,Driebergen-Zeist
8400394,8400182,83,Lelystad Centrum,Driebergen-Zeist
8400417,8400182,6,Maarn,Driebergen-Zeist
8400424,8400182,136,Maastricht,Driebergen-Zeist
8400426,8400182,151,Maastricht Randwyck,Driebergen-Zeist
8400428,8400182,110,Mariënberg,Driebergen-Zeist
8400434,8400182,151,Meerssen,Driebergen-Zeist
8400435,8400182,100,Meppel,Driebergen-Zeist
8400452,8400182,41,Naarden-Bussum,Driebergen-Zeist
8400454,8400182,133,Nieuw Amsterdam,Driebergen-Zeist
8400457,8400182,198,Bad Nieuweschans,Driebergen-Zeist
8400470,8400182,44,Nijmegen,Driebergen-Zeist
8400487,8400182,103,Ommen,Driebergen-Zeist
8400495,8400182,66,Oss,Driebergen-Zeist
8400507,8400182,49,Rotterdam Alexander,Driebergen-Zeist
8400508,8400182,83,Purmerend,Driebergen-Zeist
8400517,8400182,26,Rhenen,Driebergen-Zeist
